Mass,Raideur,Friction,Amplitude,Time_Stop
100,22000,1300,3.011460357310615,0.24024024024024024
100,23000,1300,3.0109053543289503,0.2340802340802341
100,24000,1300,3.0103503862402587,0.22792022792022792
100,25000,1300,3.0097954530432207,0.22176022176022175
100,26000,1300,3.0092405547365138,0.2186802186802187
100,27000,1300,3.008685691318818,0.21252021252021253
100,28000,1300,3.0081405001377246,0.20944020944020944
100,29000,1300,3.007999956387494,0.20328020328020327
100,30000,1300,3.007859414852594,0.20020020020020018
100,31000,1300,3.007718875533005,0.19712019712019713
100,32000,1300,3.0075783384287043,0.19404019404019401
100,33000,1300,3.0074378035396725,0.1878801878801879
100,34000,1300,3.0072972708658883,0.1848001848001848
100,35000,1300,3.0071567404073303,0.1817201817201817
100,36000,1300,3.0070162121639776,0.17864017864017864
100,37000,1300,3.006875686135809,0.17556017556017556
100,38000,1300,3.006735162322804,0.17556017556017556
100,39000,1300,3.006594640724941,0.1724801724801725
100,40000,1300,3.006454121342199,0.16940016940016941
100,41000,1300,3.006313604174558,0.16632016632016633
100,42000,1300,3.006173089221997,0.16324016324016324
100,43000,1300,3.0060325764844933,0.16324016324016324
100,44000,1300,3.005892065962027,0.16016016016016016
100,45000,1300,3.0057515576545772,0.15708015708015707
100,46000,1300,3.005611051562124,0.15708015708015707
100,47000,1300,3.0054705476846437,0.15400015400015402
100,48000,1300,3.0053300460221184,0.15400015400015402
100,49000,1300,3.0051895465745244,0.1509201509201509
100,50000,1300,3.0050490493418427,0.1509201509201509
100,51000,1300,3.0049085543240506,0.14784014784014785
100,52000,1300,3.004768061521129,0.14476014476014476
100,53000,1300,3.004627570933055,0.14476014476014476
100,54000,1300,3.00448708255981,0.14476014476014476
100,55000,1300,3.0043465964013705,0.14168014168014167
100,56000,1300,3.0042061124577164,0.14168014168014167
100,57000,1300,3.004065630728827,0.13860013860013862
100,58000,1300,3.003925151214682,0.13860013860013862
100,59000,1300,3.0037846739152587,0.13552013552013553
100,60000,1300,3.003644198830538,0.1355201355201355
100,61000,1300,3.0035037259604973,0.13552013552013553
100,62000,1300,3.0033632553051164,0.13244013244013245
100,63000,1300,3.0032227868643746,0.13244013244013247
100,64000,1300,3.0030823206382498,0.12936012936012936
100,65000,1300,3.0029418566267223,0.12936012936012936
100,66000,1300,3.00280139482977,0.12936012936012936
100,67000,1300,3.0026609352473734,0.12628012628012628
100,68000,1300,3.00252047787951,0.12628012628012628
100,69000,1300,3.0023800227261592,0.12628012628012628
100,70000,1300,3.0022395697873003,0.1232001232001232
100,71000,1300,3.0020991190629123,0.1232001232001232
100,72000,1300,3.0019586705529746,0.1232001232001232
100,73000,1300,3.001818224257466,0.12012012012012012
100,74000,1300,3.0016777801763643,0.1201201201201201
100,75000,1300,3.00153733830965,0.12012012012012012
100,76000,1300,3.0013968986573016,0.12012012012012012
100,77000,1300,3.001256461219299,0.11704011704011705
100,78000,1300,3.0011160259956196,0.11704011704011705
100,79000,1300,3.0009755929862427,0.11704011704011703
100,10000,1500,3.0232526262840898,0.4858191524858191
100,11000,1500,3.0215551182078455,0.4404404404404404
100,12000,1500,3.019928806164411,0.4030697364030697
100,13000,1500,3.018302799484061,0.3763763763763764
100,14000,1500,3.017203913009929,0.3523523523523523
100,15000,1500,3.0162775745563715,0.3336670003336669
100,16000,1500,3.015351334231343,0.31498164831498165
100,17000,1500,3.014425192028575,0.30163496830163494
100,18000,1500,3.013499147941798,0.2882882882882883
100,19000,1500,3.0125967055229506,0.2776109442776109
100,20000,1500,3.0121797806348867,0.2696029362696029
100,21000,1500,3.011762875433992,0.2589255922589256
100,22000,1500,3.011345989919706,0.25091758425091754
100,23000,1500,3.0109291240914677,0.24290957624290954
100,24000,1500,3.0105122779487195,0.23757090423757085
100,25000,1500,3.0100954514909004,0.22956289622956286
100,26000,1500,3.0096786447174506,0.2242242242242242
100,27000,1500,3.0092618576278114,0.21888555221888556
100,28000,1500,3.008845090221423,0.21354688021354684
100,29000,1500,3.008428342497725,0.21087754421087748
100,30000,1500,3.0080116144561595,0.20553887220553882
100,31000,1500,3.007594906096165,0.20020020020020016
100,32000,1500,3.007178217417183,0.1975308641975308
100,33000,1500,3.0069825433753814,0.1948615281948615
100,34000,1500,3.0068769929661427,0.18952285618952283
100,35000,1500,3.0067714438066284,0.18685352018685347
100,36000,1500,3.0066658958968278,0.1841841841841842
100,37000,1500,3.006560349236733,0.18151484818151487
100,38000,1500,3.006454803826336,0.17884551217884548
100,39000,1500,3.0063492596656265,0.17617617617617617
100,40000,1500,3.006243716754596,0.17350684017350682
100,41000,1500,3.006138175093236,0.17083750417083748
100,42000,1500,3.006032634681537,0.16816816816816815
100,43000,1500,3.0059270955194894,0.16549883216549885
100,44000,1500,3.005821557607087,0.1628294961628295
100,45000,1500,3.0057160209443183,0.1601601601601601
100,46000,1500,3.005610485531175,0.16016016016016016
100,47000,1500,3.0055049513676497,0.1574908241574908
100,48000,1500,3.005399418453732,0.15482148815482147
100,49000,1500,3.0052938867894126,0.15482148815482147
100,50000,1500,3.005188356374684,0.1521521521521521
100,51000,1500,3.0050828272095362,0.1494828161494828
100,52000,1500,3.004977299293961,0.14948281614948283
100,53000,1500,3.0048717726279492,0.14681348014681347
100,54000,1500,3.0047662472114918,0.14414414414414414
100,55000,1500,3.0046607230445805,0.14414414414414412
100,56000,1500,3.0045552001272062,0.14147480814147478
100,57000,1500,3.0044496784593595,0.14147480814147478
100,58000,1500,3.004344158041032,0.13880547213880545
100,59000,1500,3.0042386388722138,0.13880547213880542
100,60000,1500,3.004133120952898,0.1361361361361361
100,61000,1500,3.004027604283074,0.13613613613613612
100,62000,1500,3.0039220888627334,0.13346680013346682
100,63000,1500,3.003816574691867,0.13346680013346682
100,64000,1500,3.0037110617704665,0.13079746413079746
100,65000,1500,3.0036055500985235,0.13079746413079746
100,66000,1500,3.0035000396760276,0.13079746413079746
100,67000,1500,3.0033945305029706,0.12812812812812813
100,68000,1500,3.0032890225793443,0.12812812812812813
100,69000,1500,3.0031835159051385,0.12545879212545877
100,70000,1500,3.003078010480346,0.12545879212545877
100,71000,1500,3.002972506304956,0.12545879212545877
100,72000,1500,3.0028670033789604,0.12278945612278946
100,73000,1500,3.0027615017023517,0.12278945612278942
100,74000,1500,3.0026560012751182,0.12278945612278942
100,75000,1500,3.002550502097254,0.1201201201201201
100,76000,1500,3.0024450041687474,0.1201201201201201
100,77000,1500,3.002339507489591,0.12012012012012012
100,78000,1500,3.002234012059777,0.11745078411745079
100,79000,1500,3.002128517879295,0.11745078411745075
100,10000,1700,3.023132432431198,0.6076664900194312
100,11000,1700,3.021179108815685,0.5228758169934641
100,12000,1700,3.019616630997383,0.46399340516987575
100,13000,1700,3.018350736449988,0.4239533651298358
100,14000,1700,3.017085026972415,0.39097921450862627
100,15000,1700,3.0158195025483217,0.36507095330624745
100,16000,1700,3.015087468165753,0.3438732850497556
100,17000,1700,3.0143664392008582,0.32503091326620737
100,18000,1700,3.0136454697070647,0.30854383795560264
100,19000,1700,3.0129245596814145,0.296767355590885
100,20000,1700,3.0122037091209504,0.28499087322616734
100,21000,1700,3.0114829180227143,0.27321439086144966
100,22000,1700,3.0109648387194885,0.26379320496967557
100,23000,1700,3.0106403020630745,0.25672731555084494
100,24000,1700,3.010315777338472,0.24730612965907084
100,25000,1700,3.0099912645454165,0.2402402402402403
100,26000,1700,3.009666763683644,0.23317435082140964
100,27000,1700,3.00934227475289,0.22846375787552262
100,28000,1700,3.0090177977528914,0.221397868456692
100,29000,1700,3.008693332683384,0.21668727551080488
100,30000,1700,3.0083688795441024,0.2119766825649178
100,31000,1700,3.0080444383347835,0.20726608961903079
100,32000,1700,3.0077200090551632,0.20255549667314374
100,33000,1700,3.0073955917049786,0.2002002002002002
100,34000,1700,3.0070711862839636,0.19548960725431314
100,35000,1700,3.0067467927918545,0.1931343107813696
100,36000,1700,3.0064224112283884,0.18842371783548253
100,37000,1700,3.006194290352404,0.186068421362539
100,38000,1700,3.0061121216219884,0.18135782841665193
100,39000,1700,3.0060299536490347,0.1790025319437084
100,40000,1700,3.0059477864335387,0.17664723547076489
100,41000,1700,3.005865619975496,0.17429193899782136
100,42000,1700,3.0057834542749027,0.1719366425248778
100,43000,1700,3.005701289331754,0.1695813460519343
100,44000,1700,3.005619125146046,0.16722604957899076
100,45000,1700,3.0055369617177754,0.16487075310604724
100,46000,1700,3.0054547990469365,0.16251545663310368
100,47000,1700,3.0053726371335263,0.16016016016016016
