,Mass,Raideur,Friction,Amplitude,Time_Stop
1574,450,54000,4900,10.026509224268102,0.339971950488675
1575,450,55000,4900,10.024823853990112,0.339971950488675
1576,450,56000,4900,10.023138581727745,0.3273803967668722
1577,450,57000,4900,10.021453407477571,0.3273803967668722
1578,450,58000,4900,10.019768331236143,0.3273803967668722
1579,450,59000,4900,10.01808335300003,0.31478884304506943
1580,450,60000,4900,10.016398472765786,0.31478884304506943
1581,450,61000,4900,10.014713690529977,0.31478884304506943
1582,450,62000,4900,10.01302900628916,0.31478884304506943
1583,450,63000,4900,10.011344420039903,0.30219728932326667
1584,450,64000,4900,10.009659931778762,0.30219728932326667
1585,450,65000,4900,10.0079755415023,0.30219728932326667
1586,450,66000,4900,10.00629124920708,0.30219728932326667
1587,450,67000,4900,10.004607054889666,0.28960573560146385
1588,450,68000,4900,10.002922958546616,0.28960573560146385
1589,450,69000,4900,10.00123896017449,0.28960573560146385
1590,450,70000,4900,10.0,0.28960573560146385
1591,450,71000,4900,10.0,0.28960573560146385
1592,450,72000,4900,10.0,0.2770141818796611
1593,450,73000,4900,10.0,0.2770141818796611
1594,450,74000,4900,10.0,0.2770141818796611
1595,450,75000,4900,10.0,0.2770141818796611
1596,450,76000,4900,10.0,0.2770141818796611
1597,450,77000,4900,10.0,0.26442262815785833
1598,450,78000,4900,10.0,0.26442262815785833
1599,450,79000,4900,10.0,0.26442262815785833
1600,450,15000,5100,10.122157383730801,2.8708742485710332
1601,450,16000,5100,10.11570761586746,1.7124513061651778
1602,450,17000,5100,10.109259330878515,1.3472962482328972
1603,450,18000,5100,10.102812528556925,1.1458313886840528
1604,450,19000,5100,10.096367208695662,1.0073242977442223
1605,450,20000,5100,10.089923371087721,0.9191834216916027
1606,450,21000,5100,10.083481015526123,0.843634099360786
1607,450,22000,5100,10.080239529652431,0.7806763307517722
1608,450,23000,5100,10.078554100876815,0.7429016695863638
1609,450,24000,5100,10.076868770010442,0.7051270084209555
1610,450,25000,5100,10.07518353704988,0.6673523472555472
1611,450,26000,5100,10.073498401991689,0.6421692398119416
1612,450,27000,5100,10.071813364832442,0.6043945786465333
